image_name,base_os,distro,total_vulns,critical,high,medium,low,unknown,fixable_vulns,fixable_ratio,high_risk_ratio,severity_index,risk_score
library/docker:latest,,,17,0,10,7,0,0,17,1.0,0.588,44,0.712
library/mysql:latest,,,11,0,6,5,0,0,11,1.0,0.545,28,0.682
library/caddy:latest,,,13,0,7,6,0,0,13,1.0,0.538,33,0.677
library/crate:latest,,,17,0,8,9,0,0,17,1.0,0.471,42,0.63
library/geonetwork:latest,,,131,2,34,63,32,0,96,0.733,0.275,268,0.412
library/influxdb:latest,,,295,6,80,111,98,0,162,0.549,0.292,584,0.369
library/ghost:latest,,,144,7,32,38,67,0,62,0.431,0.271,267,0.319
library/mariadb:latest,,,27,0,6,10,11,0,10,0.37,0.222,49,0.266
library/solr:latest,,,50,2,5,17,26,0,17,0.34,0.14,83,0.2
library/cassandra:latest,,,62,0,9,14,39,0,17,0.274,0.145,94,0.184
library/orientdb:latest,,,40,0,5,14,21,0,12,0.3,0.125,64,0.178
library/sonarqube:latest,,,42,0,3,16,23,0,14,0.333,0.071,64,0.15
library/liquibase:latest,,,52,0,6,10,36,0,10,0.192,0.115,74,0.138
library/storm:latest,,,40,0,4,14,22,0,9,0.225,0.1,62,0.138
library/neo4j:latest,,,1608,2,278,1141,186,1,0,0.0,0.174,3310,0.122
library/friendica:latest,,,1427,9,192,642,584,0,85,0.06,0.141,2480,0.117
library/spiped:latest,,,396,0,60,211,125,0,0,0.0,0.152,727,0.106
library/haxe:latest,,,1312,5,157,630,511,9,0,0.0,0.123,2262,0.086
library/haskell:latest,,,1239,3,144,596,496,0,0,0.0,0.119,2132,0.083
library/postfixadmin:latest,,,1233,2,141,580,510,0,0,0.0,0.116,2101,0.081
library/elixir:latest,,,1760,9,190,679,874,8,0,0.0,0.113,2838,0.079
library/erlang:latest,,,1760,9,190,679,874,8,0,0.0,0.113,2838,0.079
library/node:latest,,,1619,7,175,643,794,0,1,0.001,0.112,2633,0.079
library/postgres:latest,,,113,0,8,7,98,0,10,0.088,0.071,136,0.076
library/satosa:latest,,,101,2,7,19,73,0,3,0.03,0.089,140,0.071
library/drupal:latest,,,751,0,65,229,457,0,17,0.023,0.087,1110,0.068
library/redmine:latest,,,225,0,17,45,163,0,11,0.049,0.076,304,0.068
library/monica:latest,,,748,1,64,227,456,0,9,0.012,0.087,1106,0.064
library/xwiki:latest,,,64,1,1,19,43,0,9,0.141,0.031,88,0.064
library/swipl:latest,,,152,2,12,40,98,0,0,0.0,0.092,222,0.064
library/varnish:latest,,,666,0,60,212,393,1,0,0.0,0.09,997,0.063
library/golang:latest,,,737,0,64,236,437,0,0,0.0,0.087,1101,0.061
library/php:8.3.28RC1-zts-trixie,,,699,0,61,218,420,0,0,0.0,0.087,1039,0.061
library/logstash:9.2.0,,,58,0,2,16,38,2,7,0.121,0.034,76,0.06
library/matomo:latest,,,734,0,61,219,454,0,0,0.0,0.083,1075,0.058
library/backdrop:latest,,,735,0,61,219,455,0,0,0.0,0.083,1076,0.058
library/mediawiki:latest,,,847,0,70,244,533,0,0,0.0,0.083,1231,0.058
library/yourls:latest,,,733,0,61,219,453,0,0,0.0,0.083,1074,0.058
library/joomla:latest,,,843,0,68,246,529,0,1,0.001,0.081,1225,0.057
library/phpmyadmin:latest,,,743,0,61,219,463,0,0,0.0,0.082,1084,0.057
library/nextcloud:latest,,,857,0,70,243,544,0,0,0.0,0.082,1240,0.057
library/pypy:latest,,,1049,0,84,270,695,0,4,0.004,0.08,1487,0.057
library/python:latest,,,1079,0,85,278,716,0,1,0.001,0.079,1527,0.056
library/perl:latest,,,1043,0,81,269,693,0,0,0.0,0.078,1474,0.055
library/buildpack-deps:latest,,,1043,0,81,269,693,0,0,0.0,0.078,1474,0.055
library/ruby:latest,,,1044,0,81,270,693,0,1,0.001,0.078,1476,0.055
library/rust:latest,,,1043,0,81,269,693,0,0,0.0,0.078,1474,0.055
library/gcc:latest,,,1054,0,81,270,703,0,0,0.0,0.077,1486,0.054
library/openjdk:26-ea-slim-bookworm,,,77,1,4,12,60,0,0,0.0,0.065,100,0.046
library/redis:latest,,,76,1,4,12,59,0,0,0.0,0.066,99,0.046
library/hitch:latest,,,78,1,4,12,61,0,0,0.0,0.064,101,0.045
library/rethinkdb:latest,,,138,2,6,30,100,0,0,0.0,0.058,186,0.041
library/chronograf:latest,,,131,2,5,28,96,0,0,0.0,0.053,175,0.037
library/couchdb:latest,,,137,2,5,28,102,0,0,0.0,0.051,181,0.036
library/telegraf:latest,,,142,2,5,30,105,0,0,0.0,0.049,188,0.034
library/clojure:tools-deps-trixie-slim,,,122,0,4,20,98,0,1,0.008,0.033,150,0.026
library/lightstreamer:latest,,,107,0,1,75,31,0,7,0.065,0.009,184,0.026
library/rakudo-star:latest,,,127,0,4,26,97,0,0,0.0,0.031,161,0.022
library/zookeeper:latest,,,45,0,0,9,36,0,3,0.067,0.0,54,0.02
library/couchbase:latest,,,18,0,0,7,11,0,1,0.056,0.0,25,0.017
library/nginx:latest,,,98,0,2,12,84,0,0,0.0,0.02,114,0.014
library/convertigo:latest,,,115,0,0,54,61,0,5,0.043,0.0,169,0.013
library/fluentd:latest,,,53,0,0,3,50,0,2,0.038,0.0,56,0.011
library/spark:latest,,,1413,3,9,1263,138,0,19,0.013,0.008,2703,0.01
library/httpd:latest,,,81,0,1,6,74,0,0,0.0,0.012,89,0.008
library/dart:latest,,,104,0,1,14,89,0,0,0.0,0.01,120,0.007
library/openjdk:26-ea-trixie,,,394,0,4,26,364,0,0,0.0,0.01,428,0.007
library/hylang:latest,,,53,0,0,2,51,0,1,0.019,0.0,55,0.006
library/gradle:latest,,,99,0,0,75,24,0,1,0.01,0.0,174,0.003
library/jruby:latest,,,1040,0,0,994,45,1,4,0.004,0.0,2033,0.001
library/irssi:latest,,,57,0,0,2,55,0,0,0.0,0.0,59,0.0
library/neurodebian:latest,,,66,0,0,1,65,0,0,0.0,0.0,67,0.0
library/wordpress:beta-php8.4-fpm-alpine,,,0,0,0,0,0,0,0,0.0,0.0,0,0.0
library/haproxy:latest,,,51,0,0,1,50,0,0,0.0,0.0,52,0.0
library/tomcat:10-jre11-temurin-noble,,,27,0,0,6,21,0,0,0.0,0.0,33,0.0
library/clickhouse:latest,,,31,0,0,9,22,0,0,0.0,0.0,40,0.0
library/maven:latest,,,95,0,0,71,24,0,0,0.0,0.0,166,0.0
library/debian:latest,,,51,0,0,1,50,0,0,0.0,0.0,52,0.0
library/rabbitmq:latest,,,12,0,0,5,7,0,0,0.0,0.0,17,0.0
library/tomee:latest,,,22,0,0,5,17,0,0,0.0,0.0,27,0.0
library/oraclelinux:8.10,,,0,0,0,0,0,0,0,0.0,0.0,0,0.0
library/amazonlinux:latest,,,0,0,0,0,0,0,0,0.0,0.0,0,0.0
library/amazoncorretto:latest,,,0,0,0,0,0,0,0,0.0,0.0,0,0.0
library/composer:latest,,,0,0,0,0,0,0,0,0.0,0.0,0,0.0
library/memcached:latest,,,51,0,0,1,50,0,0,0.0,0.0,52,0.0
library/open-liberty:latest,,,31,0,0,5,26,0,0,0.0,0.0,36,0.0
library/flink:latest,,,42,0,0,6,36,0,0,0.0,0.0,48,0.0
library/eclipse-temurin:latest,,,84,0,0,69,15,0,0,0.0,0.0,153,0.0
library/r-base:latest,,,0,0,0,0,0,0,0,0.0,0.0,0,0.0
library/emqx:latest,,,77,0,0,7,70,0,0,0.0,0.0,84,0.0
library/tomcat:latest,,,84,0,0,69,15,0,0,0.0,0.0,153,0.0
library/odoo:latest,,,77,0,0,42,35,0,0,0.0,0.0,119,0.0
library/ibm-semeru-runtimes:open-jdk-25.0.1_8-jre-noble,,,18,0,0,5,13,0,0,0.0,0.0,23,0.0
library/groovy:latest,,,99,0,0,70,29,0,0,0.0,0.0,169,0.0
library/julia:latest,,,76,0,0,7,69,0,0,0.0,0.0,83,0.0
library/swift:latest,,,1122,0,0,1058,64,0,0,0.0,0.0,2180,0.0
library/jetty:latest,,,99,0,0,70,29,0,0,0.0,0.0,169,0.0
library/traefik:latest,,,0,0,0,0,0,0,0,0.0,0.0,0,0.0
